
Custo: 2012187 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2012015 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2011674 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2011316 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2011079 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2011061 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2011016 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010952 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010702 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010544 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010301 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010043 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2010022 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009894 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009582 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009537 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009531 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009367 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2009122 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2008962 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2008690 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2008609 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2008541 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2008067 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007995 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007956 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007926 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007906 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007566 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007250 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2007209 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 2006749 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
